iter	Passed	Remaining
919	22267	38242
920	22290	38216
921	22314	38190
922	22335	38160
923	22356	38132
924	22382	38111
925	22410	38092
926	22436	38072
927	22460	38047
928	22486	38025
929	22509	37999
930	22533	37974
931	22556	37948
932	22577	37920
933	22598	37890
934	22620	37862
935	22643	37836
936	22664	37806
937	22691	37786
938	22713	37759
939	22739	37737
940	22763	37713
941	22790	37693
942	22812	37666
943	22835	37639
944	22859	37615
945	22880	37585
946	22902	37558
947	22925	37531
948	22951	37510
949	22972	37481
950	22994	37453
951	23015	37424
952	23035	37393
953	23054	37361
954	23074	37329
955	23095	37300
956	23115	37269
957	23133	37236
958	23155	37207
959	23176	37178
960	23199	37152
961	23220	37123
962	23242	37096
963	23265	37070
964	23285	37039
965	23306	37010
966	23326	36979
967	23345	36948
968	23365	36917
969	23387	36890
970	23408	36860
971	23427	36828
972	23446	36796
973	23470	36771
974	23491	36742
975	23517	36722
976	23539	36694
977	23564	36671
978	23587	36646
979	23611	36621
980	23637	36601
981	23663	36579
982	23688	36556
983	23716	36538
984	23741	36515
985	23766	36494
986	23790	36469
987	23816	36447
988	23838	36421
989	23867	36404
990	23889	36376
991	23910	36347
992	23933	36322
993	23956	36296
994	23980	36272
995	24002	36244
996	24024	36218
997	24045	36188
998	24067	36161
999	24089	36133
1000	24110	36106
1001	24134	36081
1002	24156	36054
1003	24177	36025
1004	24199	35998
1005	24222	35972
1006	24244	35945
1007	24267	35919
1008	24289	35892
1009	24312	35866
1010	24334	35839
1011	24359	35817
1012	24385	35795
1013	24407	35768
1014	24428	35740
1015	24453	35718
1016	24476	35692
1017	24499	35666
1018	24521	35638
1019	24546	35615
1020	24569	35590
1021	24590	35562
1022	24613	35536
1023	24634	35508
1024	24658	35484
1025	24681	35459
1026	24703	35431
1027	24726	35406
1028	24752	35385
1029	24782	35369
1030	24809	35349
1031	24835	35327
1032	24860	35305
1033	24885	35282
1034	24909	35258
1035	24931	35231
1036	24952	35203
1037	24974	35175
1038	24998	35151
1039	25019	35123
1040	25039	35093
1041	25059	35064
1042	25081	35036
1043	25100	35005
1044	25120	34976
1045	25139	34945
1046	25160	34917
1047	25180	34886
1048	25198	34854
1049	25219	34826
1050	25238	34796
1051	25259	34767
1052	25279	34738
1053	25298	34707
1054	25320	34681
1055	25340	34651
1056	25362	34623
1057	25381	34594
1058	25400	34563
1059	25420	34533
1060	25439	34502
1061	25460	34474
1062	25486	34453
1063	25519	34441
1064	25550	34427
1065	25574	34402
1066	25599	34381
1067	25623	34357
1068	25651	34338
1069	25678	34318
1070	25703	34295
1071	25726	34270
1072	25751	34247
1073	25775	34223
1074	25799	34199
1075	25822	34174
1076	25843	34146
1077	25868	34123
1078	25890	34096
1079	25916	34075
1080	25939	34050
1081	25965	34028
1082	25989	34004
1083	26018	33987
1084	26042	33962
1085	26068	33942
1086	26090	33915
1087	26115	33892
1088	26137	33865
1089	26158	33837
1090	26181	33812
1091	26204	33787
1092	26228	33763
